id|isDemo|region|name
010022000ECDA000|1|JP|すみっコぐらし 学校生活はじめるんです
0100221019468000|1|US|Shutter Nyan! Enhanced Edition
0100223017DD0000|1|JP|LIVE A LIVE
010022701979C000|1|JP|D.C.4 Fortunate Departures ～ダ・カーポ4～ フォーチュネイトデパーチャーズ
010022B019786000|1|US|Yomawari: Lost in the Dark
010022C0168A8000|1|JP|殺し屋とストロベリー Plus
01002320137CC000|1|US|Captain Tsubasa: Rise of New Champions
010023300B0F0000|1|US|Tumblestone
010023500C2F0000|1|US|99Vidas - Definitive Edition
0100236015946000|1|JP|CRSED: F.O.A.D.
0100237015438000|1|JP|B-PROJECT 流星＊ファンタジア
010023800D3F2000|1|US|Awesome Pea
010023A01A0DA000|1|US|Vampire Slayer: The Resurrection
010023E01A25A000|1|US|Party Party Time
010023F013C88000|1|JP|バーチャルバトル
0100240017BF2000|1|US|Baby Storm
01002410151E4000|1|JP|東京24区 -祈-
010024200E97E000|1|US|Bear With Me: The Lost Robots
010024201A7C2000|1|US|Magma
010025000B836000|1|JP|机でサッカー
0100257014556000|1|GB|Rev Up! RC Grand Prix
010025901AB1C000|1|GB|Pocket Bravery
010025B002E92000|1|US|Blaster Master Zero
010025B014E7E000|1|US|Lost Lands: The Wanderer
010025E01076A000|1|US|Strike! Ten Pin Bowling
010026800EA0A000|1|US|DRAGON QUEST® XI S: Echoes of an Elusive Age - Definitive Edition
010026A013782000|1|US|GROOVE COASTER WAI WAI PARTY!!!!
010026C01844A000|1|US|Tinykin
010026C0184D4000|1|US|Ghost Trick: Phantom Detective
0100270015ADE000|1|GB|Knockout Home Fitness
01002730174BE000|1|US|Colors Live
0100275011FB8000|1|JP|ワーキング ゾンビーズ
010027900C706000|1|US|Word Puzzles by POWGI
0100283012C92000|1|GB|Diamond Girl ★An Earnest Education in Love★
0100283016A28000|1|US|Figment 2: Creed Valley
0100284012448000|1|JP|MAD RAT DEAD
010028900EFBC000|1|US|Pacific Wings
010029301250E000|1|US|Spiral Memoria -The Summer I Meet Myself-
01002950121EE000|1|US|Wanderlust Travel Stories
0100296014910000|1|US|Glam's Incredible Run: Escape from Dukha
010029B00D240000|1|US|Rain City
010029E00B0D8000|1|US|Shift Happens
010029F014E34000|1|JP|神様のような君へ
01002AB01267C000|1|US|わんニャンどうぶつ病院 ペットを助けるだいじなお仕事
01002AD0159A6000|1|US|Moonlighter
01002AD0167F6000|1|US|DRAGON BALL Z: KAKAROT + A NEW POWER AWAKENS SET
01002AD019EEE000|1|JP|さくら、もゆ。-as the Nights Reincarnation-
01002AF0157DC000|1|US|Out of Line
01002B100B122000|1|JP|超回転 寿司ストライカー The Way of Sushido
01002B100F0A0000|1|GB|Pool Slide Story
01002B300EB86000|1|US|Anime Studio Story
01002B3016A34000|1|US|Tomb of the Mask
01002B500EEFA000|1|US|Puzzle Quest: The Legend Returns
01002B500F0FA000|1|JP|ファイナルファンタジー・クリスタルクロニクル リマスター
01002B701239A000|1|JP|ミスタードリラーアンコール
01002B70148E8000|1|JP|-右脳の達人- まちがいさがしミュージアム for Nintendo Switch
01002B8013D38000|1|US|MONSTER HUNTER RISE
01002BF015F58000|1|JP|ボクらの消しゴム落とし 新学期
01002C100EAAC000|1|ZH|AceAngler 王牌釣手 Nintendo Switch版
01002C30136F4000|1|US|Ring of Pain
01002C400B6B6000|1|JP|進め! キノピオ隊長
01002C4015CCE000|1|JP|ANONYMOUS;CODE
01002C4016456000|1|US|Jigsaw Fun: Greatest Cities
01002C6008C76000|1|JP|王だぁランド!
01002C600ECF0000|1|JP|わいわい! ナイスショットテニス
01002C6010204000|1|US|Wild Park Manager
01002C700C5F6000|1|US|Guns of Mercy - Rangers Edition
01002C8018554000|1|JP|グリムグリモア OnceMore
01002CC00B5FC000|1|ZH|不如帰 大乱
01002CD00CB94000|1|GB|Desktop Soccer
01002CE00B6A8000|1|JP|キッドトリップ RUN!
01002D000DF5A000|1|US|ONINAKI
01002E100D1E2000|1|US|Mega Mall Story
01002E201BB56000|1|US|Armored Lab Force VULVEHICLES
01002E6015494000|1|US|LOVE - A Puzzle Box Filled with Stories
01002E701B1C6000|1|US|BROK the InvestiGator
01002E901042E000|1|US|Coffee Talk
01002EB00CE48000|1|JP|ノラと皇女と野良猫ハート HD
01002EF013B0E000|1|JP|すみっコぐらし おへやのすみでたびきぶんすごろく
01002FA01610A000|1|JP|BLUE REFLECTION TIE/帝
01002FC00B694000|1|US|Fill-a-Pix: Phil's Epic Adventure
0100302010338000|1|US|Blasphemous
010030B01A234000|1|JP|Party Party Time (パーティパーティタイム)
010030D005AE6000|1|GB|Pokkén Tournament DX
010031801804A000|1|US|Card Shark
0100319015E72000|1|JP|パズルハムスター ～地球冒険記～
010031C0122B0000|1|US|Active Neurons 2
010031F0126DE000|1|JP|Rogue Heroes: テイソスの遺跡
01003200151B2000|1|US|Lost Lands: Ice Spell
010032001D0E4000|1|US|Spirittea
010032F0159A8000|1|US|Children of Morta
010033200C50E000|1|JP|添いカノ ～ぎゅっと抱きしめて～
0100338018EA8000|1|US|Leif's Adventure: Netherworld Hero
010033A012B1A000|1|JP|AVICII Invector
010033A017762000|1|US|Fuga: Melodies of Steel
010033E0171D6000|1|US|Letters - a written adventure
010033F017A60000|1|US|Imp of the Sun
010034501756C000|1|JP|モルサッカーオンライン Lite
010034701860A000|1|US|Silt
010034C0113EA000|1|US|Mega Mall Story 2
0100356015B70000|1|US|Gems of Magic: Father's Day
010035601897A000|1|US|Q REMASTERED
010036401A2B8000|1|GB|Gravity Thrust
010036A01B822000|1|US|Legendary Tales: Cataclysm
010036D017B0C000|1|US|Curious Expedition 2
010036F0182C4000|1|US|Sea of Stars
010037201B9C2000|1|US|Nova Lands
010037301569A000|1|US|PICROSS S GENESIS & Master System edition
010037700C9F2000|1|US|Croc's World
010037B00A9C8000|1|US|UNO®
010037D01A46C000|1|JP|Hyper Highspeed Genius
010038100EA60000|1|US|Lethal League Blaze
010038400CADC000|1|US|Timberman VS
0100386013D3A000|1|US|MONSTER HUNTER RISE
0100387011BA2000|1|US|Fly Punch Boom!
010038A00DE9C000|1|US|Voxel Shot for Nintendo Switch
01003900168E4000|1|US|Repentant
010039300A56C000|1|US|Squareboy vs Bullies: Arena Edition
0100395017A00000|1|US|Darkness and Flame: Enemy in Reflection
01003980131D2000|1|JP|Unrailed!
010039E012F40000|1|US|Yu-Gi-Oh! Master Duel
01003A30141CA000|1|JP|みんなのラジコンGP
01003A701703C000|1|US|MacGuffin's Curse
01003AB00D74A000|1|US|Double Pug Switch
01003AB017396000|1|GB|DRIVE DRIFT X
01003AE00A872000|1|US|One More Dungeon
01003B101497C000|1|US|Game Builder Garage™
01003B2009D18000|1|US|Violett
01003B4015E1E000|1|US|Spiritfarer
01003B900F8C6000|1|JP|ドラゴンクエストビルダーズ２ 破壊神シドーとからっぽの島
01003BA015A12000|1|US|Bonfire Peaks
01003BC01453C000|1|US|Aerial_Knight's Never Yield
01003BE0182A6000|1|US|The Last Cube
01003C300C66A000|1|JP|チョークダッシュカーニバル
01003C3014B56000|1|JP|モンスターを倒して強い剣や鎧を手にしなさい。死んでも諦めずに強くなりなさい。勇者隊が魔王を倒すその日を信じています。
01003C5016106000|1|US|PICROSS S7
01003C7017BB4000|1|JP|穢翼のユースティア
01003D000F68C000|1|US|The friends of Ringo Ishikawa
01003DD00DE14000|1|US|Croc's World 2
01003DE00E000000|1|US|GOD EATER 3
01003DE011F28000|1|US|Water Balloon Mania
01003E7015974000|1|US|Greak: Memories of Azur
01003EB012938000|1|US|Galaxy Warfighter
01003ED00FEA2000|1|GB|Desktop Dodgeball
01003F0012E0E000|1|US|Strawberry Vinegar
01003F2014304000|1|JP|戦国無双５
01003F90150FE000|1|JP|MUSICUS!
01003FA010F34000|1|US|CrunchTime
010040000DB98000|1|US|Neo Cab
01004030162DA000|1|US|The Last Friend
010040601A5F2000|1|US|The Excavation of Hob's Barrow
010040800FB54000|1|US|Pokémon Mystery Dungeon™: Rescue Team DX
010040B00AE0E000|1|JP|アーバントライアル プレイグラウンド
01004100186EA000|1|US|My Divorce Story
01004160191C8000|1|JP|あくありうむ。
010041701652A000|1|JP|アイキス3 cute -There are various paths. Just cherish your own feelings as you please.-
010042100E8B0000|1|US|Viviette
010042501329E000|1|US|Monster Hunter Stories 2: Wings of Ruin
010042600C418000|1|JP|レイジングループ
010042600EDB6000|1|US|Songbird Symphony
010042701A9D0000|1|US|Howl
010042A010DD0000|1|GB|AeternoBlade II
010042A01A678000|1|US|Disgaea 7: Vows of the Virtueless
010043101D070000|1|GB|Fabled Lands
01004360135AC000|1|US|DREAMO
010043700C102000|1|US|Labyrinth of Refrain: Coven of Dusk
010043D004CF6000|1|US|JUST DANCE® 2018
010043F017802000|1|JP|Winning Post 9 2022
010044101D4C8000|1|US|YOHANE THE PARHELION -BLAZE in the DEEPBLUE-
010044200A112000|1|US|Vostok Inc.
010044200BC42000|1|US|Detention
010044C01A862000|1|US|Fitness Boxing Fist of the North Star
0100450011362000|1|US|Tyd wag vir Niemand
01004510110C4000|1|US|Alder's Blood
0100452016B98000|1|JP|放課後シンデレラ
010045300F138000|1|JP|D.C.4 ～ダ・カーポ4～
0100454008DA8000|1|US|Stikbold! A Dodgeball Adventure DELUXE
010045600A0D4000|1|US|Quest of Dungeons
010045801053A000|1|JP|ボイド・テラリウム
010045801967C000|1|US|Lunistice
010045B00849C000|1|US|MIGHTY GUNVOLT BURST
010045C013DB4000|1|US|Virtual Battle
010045D014E64000|1|US|Color Your World
0100460017CE8000|1|JP|千の刃濤、桃花染の皇姫
0100462013BBA000|1|US|Nexoria: Dungeon Rogue Heroes
010046501A56E000|1|GB|Wavecade
010046B0116A8000|1|US|Knight Squad
010046C00E260000|1|US|Pocket Harvest
010047300CB92000|1|US|Desktop Soccer
010047401512E000|1|US|Hashihime of the Old Book Town append
0100474016EB8000|1|JP|刀剣乱舞無双
010047A008760000|1|US|Dark Witch Music Episode: Rudymical
010048100BCD8000|1|US|Hot Springs Story
010048201891A000|1|JP|聖塔神記 トリニティトリガー
010048C00EAD0000|1|US|Grass Cutter - Mutated Lawns
010048F00CC7C000|1|US|Out There: Ω The Alliance
010049301226E000|1|US|Touhou spell bubble
01004930129E8000|1|US|WHAT THE GOLF?
010049600E51C000|1|JP|東京2020オリンピック The Official Video Game™
010049700DE2E000|1|US|Castle of Heart
010049900D3C6000|1|US|Drowning
010049E01B034000|1|US|Moving Out 2
010049F013BE2000|1|JP|ジンキ・リザレクション
01004A400E5A4000|1|US|Iris School of Wizardry -Vinculum Hearts-
01004A400FBA8000|1|US|The Casebook of Arkady Smith
01004A800B158000|1|JP|タンブルストーン
01004A8015DD0000|1|GB|60 Seconds! Reatomized
01004AB012D9C000|1|GB|Beastie Bay DX
01004AF00A772000|1|US|PixelJunk™ Monsters 2
01004B10031BE000|1|GB|Puyo Puyo™ Tetris®
01004B101369C000|1|US|Alpaca Ball: Allstars
01004BA013186000|1|JP|ゼルダ無双 厄災の黙示録
01004BD014330000|1|US|SAMURAI WARRIORS 5
01004BE00A682000|1|US|Black Hole
01004C000BF96000|1|US|Mahjong Solitaire Refresh
01004C5018BC4000|1|US|THEATRHYTHM FINAL BAR LINE
01004C6015840000|1|US|Tandem: A Tale of Shadows
01004C800D426000|1|US|The Sushi Spinnery
01004D901984C000|1|US|Ace Angler: Fishing Spirits
01004D901AFD6000|1|US|Arcana of Paradise —The Tower—
01004E300899E000|1|US|Wanderjahr TryAgainOrWalkAway
01004EC017292000|1|JP|月の彼方で逢いましょう
01004ED012C64000|1|US|Just Dance® 2021
01004F001ABC4000|1|US|Star Gagnant
01004F7003726000|1|JP|魔界戦記ディスガイア5
01004FC010C38000|1|US|Lost Lands: Dark Overlord
01004FD0134C4000|1|US|Shadowverse: Champion's Battle
01004FE010B0C000|1|JP|幻想マネージュ
